"survey_id","region","site","observer","habitat","elevation_m","canopy_pct","temp_C","count"
245,7,49,"obs4","forest",115.3,92.5,14.1,1
246,8,50,"obs2","grassland",727.2,19,7.9,0
247,8,50,"obs4","grassland",727.2,19,12.7,0
248,8,50,"obs3","grassland",727.2,19,10.7,0
249,8,50,"obs6","grassland",727.2,19,8.8,0
250,8,50,"obs5","grassland",727.2,19,8.5,0
251,8,51,"obs3","grassland",189.5,45.7,14.1,0
252,8,51,"obs6","grassland",189.5,45.7,18,2
253,8,51,"obs2","grassland",189.5,45.7,15.2,3
254,8,51,"obs4","grassland",189.5,45.7,14.6,0
255,8,51,"obs5","grassland",189.5,45.7,15.3,3
256,8,52,"obs3","wetland",398.4,23,10.9,3
257,8,52,"obs1","wetland",398.4,23,10.5,3
258,8,52,"obs2","wetland",398.4,23,13,4
259,8,52,"obs6","wetland",398.4,23,13.2,5
260,8,52,"obs4","wetland",398.4,23,12.8,5
261,8,53,"obs3","forest",57.5,22.8,9.3,0
262,8,53,"obs1","forest",57.5,22.8,16.4,6
263,8,53,"obs5","forest",57.5,22.8,17,4
264,8,53,"obs4","forest",57.5,22.8,17.5,1
265,8,53,"obs6","forest",57.5,22.8,12.1,0
266,8,54,"obs4","forest",446.1,30.9,11.7,3
267,8,54,"obs2","forest",446.1,30.9,10.8,1
268,8,54,"obs3","forest",446.1,30.9,12.6,0
269,8,54,"obs5","forest",446.1,30.9,11,1
270,8,54,"obs1","forest",446.1,30.9,11.4,4
